iter	Passed	Remaining
0	158	157850
1	159	79839
2	161	53775
3	163	40724
4	165	32966
5	167	27766
6	169	24032
7	171	21248
8	173	19058
9	174	17297
10	176	15858
11	178	14660
12	179	13658
13	181	12782
14	183	12041
15	185	11394
16	186	10808
17	188	10272
18	189	9792
19	191	9374
20	193	9004
21	195	8673
22	196	8356
23	198	8076
24	200	7812
25	201	7565
26	203	7341
27	205	7130
28	207	6946
29	209	6773
30	211	6604
31	213	6448
32	214	6298
33	216	6159
34	218	6026
35	220	5910
36	222	5786
37	224	5671
38	225	5561
39	227	5455
40	228	5354
41	230	5258
42	232	5166
43	233	5075
44	235	4988
45	236	4906
46	238	4828
47	239	4753
48	241	4684
49	243	4620
50	244	4556
51	246	4495
52	248	4434
53	249	4377
54	251	4316
55	252	4262
56	254	4208
57	255	4155
58	257	4106
59	258	4055
60	260	4008
61	261	3963
62	263	3918
63	264	3874
64	266	3832
65	267	3790
66	269	3749
67	270	3701
68	271	3664
69	273	3628
70	274	3593
71	276	3559
72	277	3525
73	279	3493
74	280	3461
75	282	3430
76	283	3400
77	285	3370
78	286	3340
79	288	3312
80	289	3284
81	291	3257
82	292	3232
83	293	3205
84	295	3181
85	297	3166
86	299	3138
87	300	3116
88	302	3095
89	303	3073
90	305	3051
91	307	3030
92	308	3008
93	310	2989
94	311	2969
95	313	2949
96	314	2931
97	316	2912
98	317	2893
99	319	2876
100	321	2858
101	321	2834
102	323	2816
103	324	2799
104	326	2781
105	327	2765
106	330	2754
107	331	2740
108	333	2725
109	334	2710
110	336	2694
111	337	2678
112	339	2664
113	341	2650
114	342	2635
115	343	2619
116	345	2606
117	346	2593
118	348	2577
119	349	2563
120	351	2550
121	352	2536
122	353	2518
123	354	2506
124	356	2494
125	357	2481
126	359	2470
127	360	2454
128	361	2443
129	363	2432
130	364	2420
131	366	2409
132	367	2398
133	369	2387
134	370	2376
135	372	2366
136	374	2356
137	375	2346
138	377	2337
139	378	2327
140	380	2318
141	382	2311
142	384	2302
143	385	2294
144	388	2291
145	390	2284
146	392	2280
