iter	Passed	Remaining
0	101	101591
1	103	51661
2	105	34990
3	107	26818
4	109	21853
5	111	18465
6	113	16151
7	115	14347
8	117	12932
9	118	11767
10	121	10918
11	123	10172
12	125	9508
13	128	9016
14	129	8528
15	136	8415
16	139	8038
17	143	7853
18	146	7568
19	148	7290
20	151	7039
21	152	6794
22	154	6572
23	157	6387
24	159	6201
25	163	6110
26	165	5981
27	168	5840
28	170	5701
29	172	5567
30	174	5449
31	176	5327
32	180	5298
33	183	5215
34	185	5122
35	189	5068
36	192	4999
37	194	4924
38	196	4839
39	198	4761
40	200	4691
41	203	4631
42	205	4571
43	207	4506
44	209	4442
45	211	4379
46	212	4315
47	214	4260
48	216	4204
49	218	4160
50	220	4109
51	222	4057
52	224	4008
53	226	3961
54	227	3917
55	229	3875
56	231	3831
57	233	3798
58	236	3766
59	238	3733
60	239	3693
61	241	3654
62	243	3616
63	244	3581
64	246	3545
65	248	3515
66	250	3484
67	251	3452
68	253	3419
69	254	3387
70	256	3356
71	258	3326
72	259	3295
73	261	3268
74	264	3256
75	265	3233
76	267	3209
77	269	3184
78	270	3158
79	272	3133
80	273	3107
81	275	3083
82	276	3052
83	278	3033
84	280	3014
85	281	2993
86	283	2973
87	285	2953
88	286	2935
89	288	2915
90	290	2897
91	291	2878
92	294	2869
93	296	2853
94	297	2835
95	299	2817
96	300	2799
97	302	2783
98	303	2764
99	305	2749
100	308	2744
101	309	2729
102	311	2712
103	313	2697
104	314	2680
105	316	2670
106	318	2655
107	319	2641
108	322	2634
109	325	2631
110	326	2617
111	328	2605
112	330	2592
113	331	2578
114	333	2563
115	334	2550
116	336	2537
117	338	2527
118	339	2516
119	341	2505
120	343	2494
121	344	2481
122	346	2471
123	348	2460
124	349	2447
125	351	2436
126	353	2428
127	354	2417
128	356	2405
129	357	2394
130	359	2385
131	361	2375
132	362	2364
133	364	2353
134	365	2343
135	367	2336
136	369	2327
137	371	2318
138	372	2308
139	374	2299
140	375	2290
141	377	2277
142	378	2269
143	380	2259
144	382	2253
145	384	2246
146	386	2240
147	387	2232
148	389	2223
149	390	2215
150	392	2208
151	394	2203
152	397	2199
153	399	2195
154	401	2189
155	403	2181
156	404	2174
157	407	2170
158	409	2163
159	411	2158
160	412	2149
161	414	2143
162	416	2136
163	417	2130
164	420	2125
165	422	2121
166	424	2115
167	426	2112
168	429	2110
169	431	2104
170	432	2098
171	434	2091
172	436	2084
173	437	2078
174	439	2072
175	441	2067
176	443	2061
177	445	2056
178	447	2051
179	448	2045
180	450	2038
181	452	2033
182	454	2027
183	455	2021
184	458	2018
185	460	2014
186	461	2008
187	463	2001
188	465	1996
189	467	1991
190	469	1986
191	471	1985
192	474	1982
193	476	1978
194	478	1974
195	479	1968
196	481	1963
197	483	1959
198	485	1953
199	487	1950
200	489	1946
201	491	1941
202	493	1937
203	495	1933
204	497	1930
205	499	1925
206	502	1923
207	506	1928
208	508	1925
209	510	1922
210	514	1922
211	517	1923
212	527	1948
213	529	1946
214	532	1943
215	534	1941
216	537	1937
217	539	1935
218	542	1932
219	544	1929
220	549	1937
221	552	1934
222	554	1931
223	556	1927
224	558	1922
225	568	1946
226	570	1942
227	572	1939
228	575	1935
229	577	1933
230	580	1931
231	582	1927
232	584	1924
233	587	1921
234	589	1918
235	591	1916
236	594	1913
237	596	1910
238	598	1906
239	601	1903
240	603	1901
241	605	1897
242	607	1893
243	610	1892
244	613	1889
245	615	1885
246	618	1884
247	620	1880
248	622	1878
249	626	1879
250	628	1876
251	631	1874
252	634	1872
253	637	1871
254	640	1871
255	643	1869
256	645	1865
257	647	1861
258	649	1857
259	651	1853
260	656	1857
261	659	1856
262	661	1853
263	663	1850
264	666	1848
265	670	1849
266	672	1846
267	674	1842
268	676	1838
269	678	1834
270	680	1829
271	682	1826
272	684	1823
273	686	1819
274	689	1816
275	691	1813
276	693	1810
277	695	1807
278	698	1804
279	700	1802
280	702	1798
281	706	1798
282	708	1795
283	710	1791
284	713	1789
285	715	1786
286	718	1784
287	720	1780
288	722	1777
289	725	1775
290	727	1771
291	729	1769
292	732	1766
293	734	1763
294	736	1760
295	739	1759
296	741	1756
297	743	1752
298	745	1748
299	747	1745
300	749	1741
301	751	1737
302	754	1734
303	756	1732
304	758	1729
305	760	1725
306	762	1722
307	765	1719
308	769	1720
309	772	1718
310	774	1715
311	776	1712
312	778	1709
313	780	1705
314	782	1701
315	786	1701
316	788	1698
317	790	1695
318	792	1691
319	794	1687
320	795	1683
321	799	1682
322	802	1681
323	803	1677
324	806	1675
325	810	1676
326	813	1673
327	814	1669
328	816	1665
329	818	1662
330	820	1658
331	822	1654
332	824	1651
333	826	1648
334	828	1644
335	830	1640
336	832	1637
337	834	1634
338	836	1631
339	838	1628
340	840	1624
341	842	1621
342	845	1619
343	847	1615
